BOARD;CHANNEL;TIMETAG;ENERGY;CALIB_ENERGY;ENERGYSHORT;FLAGS
0;1;12802212488000;619;655.831;51;0x0
0;1;12827982384000;194;205.543;30;0x0
0;1;12874542320000;469;496.906;49;0x0
0;1;12921566372000;187;198.127;21;0x0
0;0;12827982380000;213;149.343;25;0x0
0;0;12874542332000;56;39.2638;12;0x0
0;0;12921566372000;185;129.711;24;0x0
0;0;12937728288000;195;136.722;22;0x0
0;0;13020369224000;316;221.56;27;0x0
0;0;13060425480000;54;37.8616;11;0x0
0;0;13142340348000;657;460.649;47;0x0
0;0;13170173456000;74;51.8844;15;0x0
0;0;13243610928000;197;138.125;22;0x0
0;0;13472469352000;477;334.444;40;0x0
0;1;12937728292000;201;212.96;29;0x0
0;1;13020369224000;459;486.311;45;0x0
0;1;13060425456000;416;440.752;49;0x0
0;1;13142340356000;248;262.756;33;0x0
0;1;13170173428000;325;344.338;30;0x0
0;1;13243610920000;451;477.835;50;0x0
0;1;13334323144000;26;27.547;9;0x0
0;1;13472469356000;328;347.516;40;0x0
0;1;13576767272000;524;555.178;51;0x0
0;1;13576767840000;70;74.165;25;0x0
0;0;13576767280000;263;184.4;29;0x0
0;0;13720263044000;150;105.171;16;0x0
0;0;13776628720000;134;93.9528;18;0x0
0;0;14078091836000;1456;1020.86;124;0x0
0;0;14173847592000;250;175.285;26;0x0
0;0;14213628292000;122;85.5391;17;0x0
0;0;14221993148000;145;101.665;20;0x0
0;0;14260113992000;40;28.0456;15;0x0
0;0;14330751832000;87;60.9992;16;0x0
0;0;14363583648000;159;111.481;22;0x0
0;1;13720263044000;220;233.09;29;0x0
0;1;13776628732000;118;125.021;23;0x0
0;1;14078091852000;138;146.211;19;0x0
0;1;14173847588000;515;545.643;51;0x0
0;1;14213628284000;282;298.779;32;0x0
0;1;14221993144000;407;431.217;40;0x0
0;1;14260113928000;362;383.539;40;0x0
0;1;14330751812000;614;650.533;62;0x0
0;1;14363583636000;562;595.439;52;0x0
0;1;14524187768000;633;670.664;73;0x0
0;0;14524187792000;81;56.7923;14;0x0
0;0;14549785240000;66;46.2752;12;0x0
0;0;14646398960000;389;272.743;38;0x0
0;0;14686025552000;85;59.5969;14;0x0
0;0;14718917476000;142;99.5619;19;0x0
0;0;14722588168000;66;46.2752;14;0x0
0;0;14786190204000;164;114.987;23;0x0
