# board	channel	time[ps]	E	E_calib	E_short	Flag	board	channel	time[ps]	E	E_calib	E_short	Flag
0.00	0.00	7277051492000.00	58.00	40.67	24.00	nan	0.00	1.00	7277051524000.00	23.00	24.37	9.00	nan
0.00	0.00	7365232896000.00	294.00	206.13	30.00	nan	0.00	1.00	7365232896000.00	299.00	316.79	30.00	nan
0.00	0.00	7409127152000.00	329.00	230.68	33.00	nan	0.00	1.00	7409127164000.00	119.00	126.08	19.00	nan
0.00	0.00	7442183192000.00	211.00	147.94	24.00	nan	0.00	1.00	7442183240000.00	89.00	94.30	27.00	nan
0.00	0.00	7478858460000.00	451.00	316.21	46.00	nan	0.00	1.00	7478858464000.00	211.00	223.56	28.00	nan
0.00	0.00	7546669320000.00	136.00	95.36	17.00	nan	0.00	1.00	7546669328000.00	122.00	129.26	23.00	nan
0.00	0.00	7668287612000.00	194.00	136.02	24.00	nan	0.00	1.00	7668287620000.00	120.00	127.14	19.00	nan
0.00	1.00	7677259256000.00	1339.00	1418.67	111.00	nan	0.00	0.00	7677259264000.00	248.00	173.88	29.00	nan
0.00	1.00	7729552832000.00	310.00	328.44	35.00	nan	0.00	0.00	7729552876000.00	40.00	28.05	12.00	nan
0.00	0.00	7734136580000.00	475.00	333.04	49.00	nan	0.00	1.00	7734136592000.00	168.00	178.00	24.00	nan
0.00	1.00	7752751624000.00	590.00	625.11	58.00	nan	0.00	0.00	7752751636000.00	129.00	90.45	17.00	nan
0.00	1.00	7780375100000.00	547.00	579.55	53.00	nan	0.00	0.00	7780375108000.00	197.00	138.12	24.00	nan
0.00	0.00	7803229824000.00	259.00	181.59	29.00	nan	0.00	1.00	7803229836000.00	145.00	153.63	25.00	nan
0.00	1.00	7831778588000.00	172.00	182.23	27.00	nan	0.00	0.00	7831778592000.00	125.00	87.64	17.00	nan
0.00	1.00	7903050908000.00	354.00	375.06	43.00	nan	0.00	0.00	7903050912000.00	204.00	143.03	23.00	nan
